property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
aluminiumProperty,Total_xrd,%,0,100
aluminiumProperty,Total_xrf,%,0,100
aluminiumProperty,Total_xrf-p,%,0,100
aluminiumProperty,Total_xtf-t,%,0,100
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc100wp,m³/100 m³,0,100
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc200wp,m³/100 m³,0,100
Available water capacity - volumetric (FC to WP),PAWHC_calcul-fc300wp,m³/100 m³,0,100
Base saturation - calculated,BSat_calcul-cec,%,0,100
Base saturation - calculated,BSat_calcul-ecec,%,0,100
Boron (B) - extractable,Extr_ap14,%,0,100
Boron (B) - extractable,Extr_ap15,%,0,100
Boron (B) - extractable,Extr_ap20,%,0,100
Boron (B) - extractable,Extr_ap21,%,0,100
Boron (B) - extractable,Extr_c6h8o7-reeuwijk,%,0,100
Boron (B) - extractable,Extr_cacl2,%,0,100
Boron (B) - extractable,Extr_capo4,%,0,100
Boron (B) - extractable,Extr_dtpa,%,0,100
Boron (B) - extractable,Extr_edta,%,0,100
Boron (B) - extractable,Extr_h2so4-truog,%,0,100
Boron (B) - extractable,Extr_hcl-h2so4-nelson,%,0,100
Boron (B) - extractable,Extr_hcl-nh4f-bray1,%,0,100
Boron (B) - extractable,Extr_hcl-nh4f-bray2,%,0,100
Boron (B) - extractable,Extr_hcl-nh4f-kurtz-bray,%,0,100
Boron (B) - extractable,Extr_hno3,%,0,100
Boron (B) - extractable,Extr_hotwater,%,0,100
Boron (B) - extractable,Extr_m1,%,0,100
Boron (B) - extractable,Extr_m2,%,0,100
Boron (B) - extractable,Extr_m3,%,0,100
Boron (B) - extractable,Extr_m3-spec,%,0,100
Boron (B) - extractable,Extr_nahco3-olsen,%,0,100
Boron (B) - extractable,Extr_nahco3-olsen-dabin,%,0,100
Boron (B) - extractable,Extr_naoac-morgan,%,0,100
Boron (B) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,%,0,100
Boron (B) - extractable,Extr_nh4-co3-2-ambic1,%,0,100
Boron (B) - total,Total_h2so4,%,0,100
Boron (B) - total,Total_hcl,%,0,100
Boron (B) - total,Total_hcl-aquaregia,%,0,100
Boron (B) - total,Total_hclo4,%,0,100
Boron (B) - total,Total_hno3-aquafortis,%,0,100
Boron (B) - total,Total_nh4-6mo7o24,%,0,100
Boron (B) - total,Total_tp03,%,0,100
Boron (B) - total,Total_tp04,%,0,100
Boron (B) - total,Total_tp05,%,0,100
Boron (B) - total,Total_tp06,%,0,100
Boron (B) - total,Total_tp07,%,0,100
Boron (B) - total,Total_tp08,%,0,100
Boron (B) - total,Total_tp09,%,0,100
Boron (B) - total,Total_tp10,%,0,100
Boron (B) - total,Total_unkn,%,0,100
Boron (B) - total,Total_xrd,%,0,100
Boron (B) - total,Total_xrf,%,0,100
Boron (B) - total,Total_xrf-p,%,0,100
Boron (B) - total,Total_xtf-t,%,0,100
bulkDensityFineEarthProperty,BlkDensF_fe-cl-fc,kg/dm³,0.01,2.65
bulkDensityFineEarthProperty,BlkDensF_fe-cl-od,kg/dm³,0.01,2.65
bulkDensityFineEarthProperty,BlkDensF_fe-cl-unkn,kg/dm³,0.01,2.65
