property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max,definition,citation,reference
Aluminium (Al+++) - exchangeable,ExchBases_ph7-nh4oac-fp,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, K and Na with FP (Flame Photometry)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Aluminium (Al+++) - exchangeable,ExchBases_ph7-unkn,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in unknown solution",,https://www.isric.org/sites/default/files/WOSISprocedureManual_2020nov17web.pdf#page=70
Aluminium (Al+++) - exchangeable,ExchBases_ph8-bacl2tea,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in 0.5 M BaCl2 - TEA solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Aluminium (Al+++) - exchangeable,ExchBases_ph8-unkn,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in unknown solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-edta,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unknown buffer, in EDTA solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-m3,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg",,https://doi.org/10.1080/00103628409367568
Aluminium (Al+++) - exchangeable,ExchBases_ph-unkn-m3-spec,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) spectrally measured and converted to, unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg",,https://doi.org/10.1080/00103628409367568
aluminiumProperty,Total_h2so4,%,0,100,Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_hcl,%,0,100,HCl extraction. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
aluminiumProperty,Total_hcl-aquaregia,%,0,100,Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
